"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 10, 2010","17.28","17.23","17.31","17.10","5.59M","0.29%"
"Mar 11, 2010","17.44","17.27","17.46","17.18","6.96M","0.93%"
"Mar 12, 2010","17.48","17.36","17.50","17.35","7.21M","0.23%"
"Mar 15, 2010","17.60","17.44","17.68","17.43","9.51M","0.69%"
"Mar 16, 2010","17.59","17.58","17.76","17.52","10.11M","-0.06%"
"Mar 17, 2010","17.72","17.60","17.83","17.57","14.75M","0.74%"
"Mar 18, 2010","18.66","18.34","18.84","18.32","43.70M","5.30%"
"Mar 19, 2010","18.38","18.57","18.58","18.28","18.79M","-1.50%"
"Mar 22, 2010","18.47","18.22","18.54","18.20","11.70M","0.49%"
"Mar 23, 2010","18.62","18.60","18.65","18.49","8.99M","0.81%"
"Mar 24, 2010","18.34","18.59","18.60","18.25","11.07M","-1.50%"
"Mar 25, 2010","18.39","18.54","18.70","18.38","11.32M","0.27%"
"Mar 26, 2010","18.47","18.45","18.69","18.34","8.66M","0.44%"
"Mar 29, 2010","18.49","18.54","18.58","18.39","6.52M","0.11%"
"Mar 30, 2010","18.45","18.50","18.60","18.39","6.46M","-0.22%"
"Mar 31, 2010","18.38","18.37","18.52","18.32","7.92M","-0.38%"
"Apr 01, 2010","18.50","18.49","18.60","18.44","8.38M","0.65%"
"Apr 05, 2010","18.53","18.55","18.70","18.41","7.08M","0.16%"
"Apr 06, 2010","18.48","18.39","18.54","18.38","8.43M","-0.27%"
"Apr 07, 2010","18.40","18.49","18.55","18.32","8.85M","-0.43%"
"Apr 08, 2010","18.50","18.36","18.57","18.27","10.41M","0.54%"
"Apr 09, 2010","18.80","18.55","18.82","18.41","12.50M","1.62%"
"Apr 12, 2010","18.88","18.82","18.99","18.80","8.87M","0.43%"
"Apr 13, 2010","18.88","18.86","18.98","18.69","7.03M","0.00%"
"Apr 14, 2010","18.95","18.90","18.96","18.75","6.80M","0.37%"
"Apr 15, 2010","18.91","18.89","18.95","18.74","7.01M","-0.21%"
