"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 10, 2010","67.22","67.16","67.42","66.78","24.81M","0.66%"
"Mar 11, 2010","67.22","67.39","67.56","66.98","19.37M","0.00%"
"Mar 12, 2010","66.80","67.58","67.58","66.50","23.36M","-0.62%"
"Mar 15, 2010","66.30","66.67","66.69","65.90","22.07M","-0.75%"
"Mar 16, 2010","66.57","66.55","66.68","66.00","35.11M","0.41%"
"Mar 17, 2010","67.36","66.91","67.79","66.80","38.78M","1.19%"
"Mar 18, 2010","67.39","67.50","67.74","67.01","25.93M","0.04%"
"Mar 19, 2010","67.04","67.84","67.89","66.43","45.56M","-0.52%"
"Mar 22, 2010","66.97","66.49","67.20","66.32","21.39M","-0.10%"
"Mar 23, 2010","66.95","66.94","66.98","66.45","24.75M","-0.03%"
"Mar 24, 2010","66.50","66.57","66.86","66.23","19.75M","-0.67%"
"Mar 25, 2010","66.30","66.81","66.92","66.24","21.10M","-0.30%"
"Mar 26, 2010","66.54","66.44","66.88","66.17","30.55M","0.36%"
"Mar 29, 2010","67.30","66.66","67.48","66.59","26.13M","1.14%"
"Mar 30, 2010","67.05","67.19","67.30","66.79","17.75M","-0.37%"
"Mar 31, 2010","66.98","66.94","67.19","66.60","22.35M","-0.10%"
"Apr 01, 2010","67.61","67.27","67.80","67.19","19.62M","0.94%"
"Apr 05, 2010","68.19","67.84","68.36","67.72","20.90M","0.86%"
"Apr 06, 2010","67.90","67.99","68.35","67.80","19.78M","-0.43%"
"Apr 07, 2010","67.34","67.83","67.85","66.97","24.53M","-0.82%"
"Apr 08, 2010","67.86","67.01","68.22","66.85","24.06M","0.77%"
"Apr 09, 2010","68.76","68.11","68.98","68.07","21.10M","1.33%"
"Apr 12, 2010","68.71","68.80","69.05","68.58","18.17M","-0.07%"
"Apr 13, 2010","68.66","68.47","68.76","68.07","19.18M","-0.07%"
"Apr 14, 2010","68.61","68.72","68.82","68.36","18.79M","-0.07%"
"Apr 15, 2010","68.26","68.50","68.72","68.15","16.72M","-0.51%"
"Apr 16, 2010","67.93","68.12","68.70","67.71","33.87M","-0.48%"
"Apr 19, 2010","68.23","67.75","68.44","67.57","25.69M","0.44%"
"Apr 20, 2010","68.97","68.62","69.22","68.50","22.99M","1.08%"
"Apr 21, 2010","68.92","69.00","69.43","68.57","21.12M","-0.07%"
"Apr 22, 2010","68.56","68.52","68.73","68.22","21.65M","-0.52%"
"Apr 23, 2010","69.24","68.50","69.27","68.18","24.34M","0.99%"
"Apr 26, 2010","69.29","69.03","69.53","68.93","18.24M","0.07%"
"Apr 27, 2010","68.27","69.01","70.00","68.20","36.38M","-1.47%"
"Apr 28, 2010","69.19","68.87","69.54","68.61","33.25M","1.35%"
"Apr 29, 2010","68.66","68.45","69.66","68.24","47.20M","-0.77%"
"Apr 30, 2010","67.77","68.90","69.31","67.73","43.76M","-1.30%"
"May 03, 2010","67.84","68.11","68.22","67.18","30.74M","0.10%"
"May 04, 2010","66.47","67.15","67.26","66.00","31.65M","-2.02%"
"May 05, 2010","66.17","65.94","66.94","65.83","30.26M","-0.45%"
"May 06, 2010","63.89","65.79","66.23","58.46","58.34M","-3.45%"
"May 07, 2010","63.70","64.50","64.92","63.23","69.01M","-0.30%"
"May 10, 2010","65.23","65.42","65.75","64.52","38.34M","2.40%"
"May 11, 2010","64.46","64.62","65.00","64.23","29.80M","-1.18%"
"May 12, 2010","64.91","64.64","65.34","64.50","25.39M","0.70%"
"May 13, 2010","64.74","64.87","65.27","64.32","26.79M","-0.26%"
"May 14, 2010","63.60","64.50","64.73","62.91","38.82M","-1.76%"
"May 17, 2010","63.27","63.74","63.88","62.26","31.93M","-0.52%"
"May 18, 2010","62.79","64.05","64.27","62.42","34.47M","-0.76%"
"May 19, 2010","62.45","62.46","62.94","62.00","36.73M","-0.54%"
"May 20, 2010","60.33","61.47","61.68","60.21","57.20M","-3.39%"
"May 21, 2010","60.88","59.16","60.95","59.16","52.81M","0.91%"
"May 24, 2010","60.19","60.74","61.00","60.13","27.87M","-1.13%"
"May 25, 2010","59.71","58.99","59.78","58.46","50.54M","-0.80%"
"May 26, 2010","59.31","60.08","60.46","59.12","34.03M","-0.67%"
"May 27, 2010","61.46","60.50","61.55","60.10","31.91M","3.63%"
"May 28, 2010","60.46","61.21","61.67","60.28","32.08M","-1.63%"
"Jun 01, 2010","59.25","60.38","60.86","59.14","32.98M","-2.00%"
"Jun 02, 2010","60.77","59.51","60.80","59.23","28.67M","2.57%"
"Jun 03, 2010","61.56","61.23","62.01","60.60","32.39M","1.30%"
"Jun 04, 2010","59.52","60.74","61.05","59.29","45.02M","-3.31%"
"Jun 07, 2010","59.30","59.98","60.41","59.20","28.39M","-0.37%"
"Jun 08, 2010","61.24","59.62","61.44","59.38","48.46M","3.27%"
"Jun 09, 2010","60.03","61.58","61.60","59.82","31.69M","-1.98%"
"Jun 10, 2010","61.89","61.50","62.00","61.16","33.02M","3.10%"
"Jun 11, 2010","61.86","61.68","61.92","61.18","21.23M","-0.05%"
"Jun 14, 2010","61.37","62.06","62.46","61.32","24.67M","-0.79%"
"Jun 15, 2010","62.51","61.89","62.57","61.49","24.53M","1.86%"
"Jun 16, 2010","62.51","61.97","62.62","61.90","20.65M","0.00%"
"Jun 17, 2010","62.60","62.42","62.70","61.95","23.31M","0.14%"
"Jun 18, 2010","63.10","62.78","63.37","62.40","32.75M","0.80%"
"Jun 21, 2010","63.13","64.10","64.50","62.85","24.88M","0.05%"
"Jun 22, 2010","61.94","63.13","63.20","61.79","26.15M","-1.89%"
"Jun 23, 2010","61.10","61.71","62.26","60.90","38.06M","-1.36%"
"Jun 24, 2010","60.07","60.82","61.20","59.87","34.19M","-1.69%"
"Jun 25, 2010","59.10","60.15","60.24","59.10","118.02M","-1.61%"
"Jun 28, 2010","58.47","59.31","59.39","58.47","43.02M","-1.07%"
"Jun 29, 2010","57.29","58.00","58.09","57.00","52.54M","-2.02%"
"Jun 30, 2010","57.07","57.33","57.73","56.92","43.94M","-0.38%"
"Jul 01, 2010","56.61","56.98","57.27","56.17","47.75M","-0.81%"
"Jul 02, 2010","56.57","56.85","56.99","55.94","32.77M","-0.07%"
"Jul 06, 2010","57.46","57.17","57.59","56.77","36.92M","1.57%"
"Jul 07, 2010","58.43","57.37","58.45","57.26","41.80M","1.69%"
"Jul 08, 2010","58.81","59.13","59.20","58.13","40.43M","0.65%"
"Jul 09, 2010","58.78","58.76","59.01","58.30","25.98M","-0.05%"
"Jul 12, 2010","58.94","58.29","58.94","58.20","23.52M","0.27%"
"Jul 13, 2010","59.42","59.60","59.72","59.04","30.51M","0.81%"
"Jul 14, 2010","59.26","59.22","59.34","58.62","26.06M","-0.27%"
"Jul 15, 2010","59.27","59.36","59.49","58.59","24.74M","0.02%"
"Jul 16, 2010","57.96","58.84","59.11","57.81","35.81M","-2.21%"
"Jul 19, 2010","58.43","58.33","58.74","58.10","20.96M","0.81%"
"Jul 20, 2010","58.95","57.68","58.99","57.67","23.81M","0.89%"
"Jul 21, 2010","58.17","59.13","59.13","57.60","26.86M","-1.32%"
"Jul 22, 2010","59.38","58.71","59.79","58.66","27.05M","2.08%"
"Jul 23, 2010","59.72","59.26","59.81","58.80","19.29M","0.57%"
"Jul 26, 2010","60.39","59.70","60.44","59.63","20.23M","1.12%"
"Jul 27, 2010","60.81","60.62","60.90","60.39","22.40M","0.70%"
"Jul 28, 2010","60.91","60.73","61.27","60.73","23.51M","0.16%"
"Jul 29, 2010","60.34","61.42","61.88","60.29","33.77M","-0.94%"
"Jul 30, 2010","59.68","60.15","60.51","59.60","29.37M","-1.09%"
"Aug 02, 2010","61.94","60.64","62.04","60.61","28.14M","3.79%"
"Aug 03, 2010","62.72","61.98","62.99","61.88","31.08M","1.26%"
"Aug 04, 2010","62.72","62.86","62.89","62.27","21.03M","0.00%"
"Aug 05, 2010","62.71","62.28","62.71","61.85","19.99M","-0.02%"
"Aug 06, 2010","61.97","61.92","62.50","61.25","23.10M","-1.18%"
"Aug 09, 2010","62.45","62.56","62.67","62.18","14.74M","0.77%"
"Aug 10, 2010","61.93","61.85","62.17","61.45","23.20M","-0.83%"
"Aug 11, 2010","60.39","60.55","60.66","60.20","24.28M","-2.49%"
"Aug 12, 2010","60.23","59.70","60.56","59.56","16.96M","-0.26%"
"Aug 13, 2010","59.91","59.96","60.45","59.80","14.66M","-0.53%"
"Aug 16, 2010","59.88","59.60","60.25","59.25","14.31M","-0.05%"
"Aug 17, 2010","60.82","60.49","61.16","60.14","20.13M","1.57%"
"Aug 18, 2010","60.15","60.67","60.72","59.63","20.08M","-1.10%"
"Aug 19, 2010","59.29","59.93","60.06","58.90","21.18M","-1.43%"
"Aug 20, 2010","58.89","59.02","59.07","58.55","21.01M","-0.67%"
"Aug 23, 2010","59.50","58.97","60.05","58.90","21.34M","1.04%"
"Aug 24, 2010","58.94","58.96","59.45","58.79","25.69M","-0.94%"
"Aug 25, 2010","58.91","58.69","59.40","58.42","20.97M","-0.05%"
"Aug 26, 2010","58.48","59.36","59.50","58.33","22.33M","-0.73%"
"Aug 27, 2010","59.80","58.72","59.96","58.05","28.28M","2.26%"
